
#old file list pre-2018 CCH1 alter names
#Sidalcea malviflora var. sparsifolia	Sidalcea malviflora subsp. sparsifolia	NO VAR COMB for sparsifolia; TROPICOS; ICPN indicates this var. is published, leave in but comment out now
Abelia xgrandiflora	Abelia X grandiflora
Abies Magnifica	Abies magnifica
Abies venustus	Abies venusta
Abies x shastensis	Abies X shastensis
Abies xbarbouri	Abies X barbouri
Abies xshastensis	Abies X shastensis
Abronia umbellata var. platophylla	Abronia umbellata var. platyphylla
Abronia umbellata var. variabilis	Abronia umbellata subsp. variabilis	NO VAR COMB FOR variabilis; TROPICOS
Abronia umbellatum subsp. platyphylla	Abronia umbellata subsp. platyphylla
Abutilon auriantiacum	Abutilon aurantiacum
Abutilon xhybridum	Abutilon hybridum
Acacia brandegeeana	Acacia brandegeana
Acacia cultiformis	Acacia cultriformis
Acacia greggi	Acacia greggii
Acacia longfolia	Acacia longifolia
Acacia longiflora	Acacia longifolia
Acacia lougifolia	Acacia longifolia
Acacia mcmurphyi	Acacia macmurphyi
Acacia podalyriaefolia	Acacia podalyriifolia
Acacia pycnacantha	Acacia pycnantha
Acacia retinoides	Acacia retinodes
Acacia salinga	Acacia saligna
Acacia verticallata	Acacia verticillata
Acaena novae-zelandica	Acaena novae-zelandiae
Acamptopappus schaerocephalus	Acamptopappus sphaerocephalus
Acamptopappus schockleyi	Acamptopappus shockleyi
Acamptopappus shaerocephalus subsp.	Acamptopappus sphaerocephalus
Acamptopappus spahaerocephalus var. hirtellus	Acamptopappus sphaerocephalus var. hirtellus
Acamptopappus sphaerocephalus subsp. hirtellus blake	Acamptopappus sphaerocephalus var. hirtellus	NO SUBSP IN THIS TAXON; TROPICOS
Acamptopappus sphaerocephalus subsp. sphaerocephalus	Acamptopappus sphaerocephalus var. sphaerocephalus	NO SUBSP IN THIS TAXON; TROPICOS
Acanthogonum polygonioides var. longispina	Acanthogonum polygonoides var. longispinum
Acer glabrum subsp. wasml.	Acer glabrum
Acer macrophylla	Acer macrophyllum
Achillea lanulosa var. albicola	Achillea lanulosa var. alpicola
Achillea millifolium	Achillea millefolium
Achnatherum (stipa) parishii	Achnatherum parishii
Achnatherum californica	Achnatherum californicum
Achnatherum clandestina	Achnatherum clandestinum
Achnatherum diegoensis	Achnatherum diegoense
Achnatherum lemmonnii	Achnatherum lemmonii
Achnatherum nevadensis	Achnatherum nevadense
Achnatherum occidentale subsp. californicium	Achnatherum occidentale subsp. californicum
Achnatherum occidentale subsp. occidentalis	Achnatherum occidentale subsp. occidentale
Achnatherum occidentale var. californica	Achnatherum occidentale subsp. californicum	NO VAR COMB for californicum; TROPICOS
Achnatherum occidentale var. occidentalis	Achnatherum occidentale subsp. occidentale	NO VAR COMB for occidentale; TROPICOS
Achnatherum occidentale var. pubescens	Achnatherum occidentale subsp. pubescens	NO VAR COMB for pubescens; TROPICOS
Achnatherum occidentalis	Achnatherum occidentale
Achnatherum occidentalis subsp. californicium	Achnatherum occidentale subsp. californicum
Achnatherum occidentalis subsp. californicum	Achnatherum occidentale subsp. californicum
Achnatherum occidentalis subsp. occidentalis	Achnatherum occidentale subsp. occidentale
Achnatherum occidentalis subsp. pubescens	Achnatherum occidentale subsp. pubescens
Achnatherum occidentalis var. californica	Achnatherum occidentale var. californica
Achnatherum occidentalis var. occidentalis	Achnatherum occidentale var. occidentale
Achnatherum occidentalis var. pubescens	Achnatherum occidentale var. pubescens
Achnatherum parishii subsp. depauperata	Achnatherum parishii subsp. depauperatum
Achnatherum parishii var. depauperata	Achnatherum parishii subsp. depauperatum	NO VAR COMB for depauperatum; TROPICOS
Achnatherum speciosa	Achnatherum speciosum
Achnatherum x bloomeri	Achnatherum X bloomeri
Achyls triphylla var. triphylla	Achlys triphylla var. triphylla
Achyraena mollis	Achyrachaena mollis
Acispon glaber	Acmispon glaber
Acmipson brachycarpus	Acmispon brachycarpus
Acmipson micranthus	Acmispon micranthus
Acmipson nevadensis var. nevadensis	Acmispon nevadensis var. nevadensis
Acmipspon wrangelianus	Acmispon wrangelianus
Acmison strigosus	Acmispon strigosus
Acmispon americanus americanus	Acmispon americanus var. americanus
Acmispon americanus subsp. americaus	Acmispon americanus var. americanus	NO SUBSP COMB for americanus; TROPICOS
Acmispon americanus var. americaus	Acmispon americanus var. americanus
Acmispon argophyllus subsp. adsurgens	Acmispon argophyllus var. adsurgens	NO SUBSP COMB for adsurgens; TROPICOS
Acmispon argophyllus subsp. argenteus	Acmispon argophyllus var. argenteus	NO SUBSP COMB for argenteus; TROPICOS
Acmispon argyraeus var. Multicaulis	Acmispon argyraeus var. multicaulis
Acmispon argyreus	Acmispon argyraeus
Acmispon brachycarpa	Acmispon brachycarpus
