#Format: name[tab]putative accepted name[tab]note

#The following are ILLEG. names with the eFlora accepted names
#Names extracted from the Notes field of the eFlora, many false positives, are culled from this output by make_synonymy_table.pl
#ILLEG homonyms are commented out
#Diplacus australis	Diplacus australis illeg. homonym	ILLEG in EFLORA
#Diplacus grandiflorus	Diplacus grandiflorus illeg. homonym	ILLEG in EFLORA
#Lewisia glandulosa	Lewisia glandulosa illeg. homonym	ILLEG in EFLORA
Aconitum bulbiferum	Aconitum columbianum subsp. viviparum	ILLEG in EFLORA
Aloe saponaria	Aloe maculata	ILLEG in EFLORA
Antirrhinum glandulosum	Antirrhinum multiflorum	ILLEG in EFLORA
Aristida ternipes var. hamulosa	Aristida ternipes var. gentilis	ILLEG in EFLORA
Athyrium alpestre var. americanum	Athyrium distentifolium var. americanum	ILLEG in EFLORA
Atriplex bracteosa	Atriplex serenana	UNABR ILLEG in EFLORA
Atriplex halimoides	Atriplex lindleyi	UNABR ILLEG in EFLORA
Atriplex spicata	Extriplex joaquinana	UNABR ILLEG in EFLORA
Brodiaea grandiflora	Triteleia grandiflora	ILLEG in EFLORA
Calandrinia pygmaea	Lewisia pygmaea	ILLEG in EFLORA
Carex bifida	Carex serratodens	ILLEG in EFLORA
Centaurea &times;pratensis	Centaurea jacea nothosubsp. pratensis	ILLEG in EFLORA
Centaurea squarrosa	Centaurea virgata subsp. squarrosa	ILLEG in EFLORA
Cordylanthus filifolius	Cordylanthus rigidus subsp. setiger	UNABR ILLEG in EFLORA
Delphinium armeniacum	Delphinium nudicaule	ILLEG in EFLORA
Delphinium pauciflorum	Delphinium nuttallianum	ILLEG in EFLORA
Dentaria corymbosa	Cardamine pachystigma	UNABR ILLEG in EFLORA
Dentaria corymbosa var. corymbosa	Cardamine pachystigma	NIEF ILLEG in EFLORA
Dentaria corymbosa var. grata	Cardamine pachystigma	UNABR ILLEG in EFLORA
Descurainia richardsonii	Descurainia incana	ILLEG in EFLORA
Epilobium pygmaeum	Epilobium campestre	ILLEG in EFLORA
Erigeron angustatus	Erigeron greenei	ILLEG in EFLORA
Eriogonum cusickii	Eriogonum strictum var. proliferum	ILLEG in EFLORA
Eriogonum geniculatum	Eriogonum heermannii var. heermannii	ILLEG in EFLORA
Eriogonum latifolium var. affine	Eriogonum nudum var. oblongifolium	ILLEG in EFLORA
Eriogonum nudum var. perturbum	Eriogonum nudum var. pauciflorum	ILLEG in EFLORA
Eriogonum ovalifolium var. orthocaulon	Eriogonum ovalifolium var. purpureum	ILLEG in EFLORA
Eriogonum strictum var. cusickianum	Eriogonum strictum var. proliferum	ILLEG in EFLORA
Eriogonum tenellum	Eriogonum ovalifolium var. purpureum	ILLEG in EFLORA
Eriogonum trichopodum	Eriogonum trichopes	ILLEG in EFLORA
Eryngium globosum	Eryngium spinosepalum	UNABR ILLEG in EFLORA
Eryngium globosum var. globosum	Eryngium spinosepalum	NIEF ILLEG in EFLORA
Eryngium globosum var. medium	Eryngium castrense	UNABR ILLEG in EFLORA
Filago germanica	Filago pyramidata var. pyramidata	UNABR ILLEG in EFLORA
Fraxinus trifoliolata	Fraxinus parryi	ILLEG in EFLORA
Fritillaria lanceolata	Fritillaria affinis	ILLEG in EFLORA
Fritillaria lanceolata var. lanceolata	Fritillaria affinis	NIEF ILLEG in EFLORA
Fritillaria lanceolata var. tristulis	Fritillaria affinis	ILLEG in EFLORA
Fritillaria phaeanthera	Fritillaria eastwoodiae	ILLEG in EFLORA
Gentiana humilis	Gentiana fremontii	ILLEG in EFLORA
Geranium anemonifolium	Geranium palmatum	ILLEG in EFLORA
Geranium pilosum	Geranium solanderi	ILLEG in EFLORA
Gnaphalium bicolor	Pseudognaphalium biolettii	ILLEG in EFLORA
Gnaphalium collinum	Euchiton gymnocephalus	ILLEG in EFLORA
Hesperoscordum aridum	Triteleia hyacinthina	ILLEG in EFLORA
Hutchinsia procumbens	Hornungia procumbens	ILLEG in EFLORA
