#This file is separated into three sections, each titled starting with a "#".
#The first are general spelling variants that need to be altered in CCH to match the eFlora variants
#Others are names that will likely be adopted by the eFlora in the future because the accepted spelling is not official
#according to the international code.
#The second section are name variant with and without hypens. Many compound names with hypens are no longer accepted by the international code.
#The last section are names where the suffix has changed due to a change in the recognition of a genus name gender (for example Nama demissum ==> Nama demissa)

#Format: orthographic variant[tab]accepted name[tab]where orthographic used (optional if known)
#nothospecies variants
Agrositanion saxicola	X Agrositanion saxicola
Myriopteris parishii	Myriopteris X parishii
Polygala dalmaisiana	Polygala X dalmaisiana
Salvinia X molesta	Salvinia molesta
Rosa oligocarpa	Rosa X oligocarpa
Quercus townei	Quercus X townei
Chiranthomontodendron lenzii	X Chiranthomontodendron lenzii
Cistus hybridus	Cistus X hybridus
Abelia grandiflora	Abelia X grandiflora
Abies shastensis	Abies X shastensis
Quercus kinseliae	Quercus X kinseliae
Quercus kinselae	Quercus X kinseliae
Quercus morehus	Quercus X morehus
Salsola X gobicola	Salsola gobicola
Quercus acutidens	Quercus X acutidens
Quercus alvordiana	Quercus X alvordiana
Quercus ganderi	Quercus X ganderi
Quercus howellii	Quercus X howellii
Quercus grandidentata	Quercus X grandidentata
Quercus jolonensis	Quercus X jolonensis
Quercus munzii	Quercus X munzii
Quercus subconvexa	Quercus X subconvexa
Quercus macdonaldii	Quercus X macdonaldii
Quercus eplingii	Quercus X eplingii
Quercus chasei	Quercus X chasei
Populus parryi	Populus X parryi
Populus acuminata	Populus X acuminata
Grindelia paludosa	Grindelia X paludosa
Elymus hansenii	Elymus X hansenii
Elymus aristatum	Elymus X aristatus
Elymus saundersii	Elymus X saundersii
Elymus saxicolus	Elymus X saxicola
Elymus saxicola	Elymus X saxicola
Elymus albicans	Elymus albicans
Elymus gouldii	Elymus X gouldii
Elymus vancouverensis	Elymus X vancouverensis
Elyleymus aristatus	X Elyleymus aristatus
Citrus sinensis	Citrus X sinensis
Ceanothus flexilis	Ceanothus X flexilis
Ceanothus connivens	Ceanothus X connivens
Ceanothus vanrensselaeri	Ceanothus X vanrensselaeri
Ceanothus lorenzenii	Ceanothus X lorenzenii
Abies barbouri	Abies X barbouri
Achnatherum bloomeri	Achnatherum X bloomeri
Adiantum tracyi	Adiantum X tracyi
Aesculus carnea	Aesculus X carnea
Agoseris dasycarpa	Agoseris X dasycarpa
Agoseris elata	Agoseris X elata
Aloe schoenlandii	Aloe X schoenlandii
Ambrosia platyspina	Ambrosia X platyspina
Apocynum floribundum	Apocynum X floribundum
Arctostaphylos cinerea	Arctostaphylos X cinerea
Arctostaphylos media	Arctostaphylos X media
Arctostaphylos pacifica	Arctostaphylos X pacifica
Arctostaphylos repens	Arctostaphylos X repens
Aspidotis X carlotta-halliae	Aspidotis carlotta-halliae
Centaurea moncktonii	Centaurea X moncktonii
Centaurea pratensis	Centaurea X pratensis
Ceanothus arcuatus	Ceanothus X arcuatus
Ceanothus mendocinensis	Ceanothus X mendocinensis
Ceanothus otayensis	Ceanothus X otayensis
Ceanothus serrulatus	Ceanothus X serrulatus
Ceanothus lobbianus	Ceanothus X lobbianus
Cheilanthes parishii	Cheilanthes X parishii
Corokia virgata	Corokia X virgata
Crocosmia crocosmiiflora	Crocosmia X crocosmiiflora
Cylindropuntia X prolifera	Cylindropuntia prolifera
Delphinium inflexum	Delphinium X inflexum
Dendranthema grandiflorum	Dendranthema X grandiflorum
Drosera obovata	Drosera X obovata
